Date,EPAM Systems
2011-09-26,21
2011-09-27,20
2011-09-28,19
2011-09-29,18
2011-09-30,17
2011-10-01,16
2011-10-02,16
2011-10-03,16
2011-10-04,16
2011-10-05,16
2011-10-06,16
2011-10-07,16
2011-10-08,17
2011-10-09,18
2011-10-10,19
2011-10-11,20
2011-10-12,22
2011-10-13,23
2011-10-14,24
2011-10-15,26
2011-10-16,25
2011-10-17,25
2011-10-18,24
2011-10-19,24
2011-10-20,23
2011-10-21,23
2011-10-22,23
2011-10-23,22
2011-10-24,21
2011-10-25,21
2011-10-26,20
2011-10-27,20
2011-10-28,19
2011-10-29,19
2011-10-30,19
2011-10-31,19
2011-11-01,19
2011-11-02,20
2011-11-03,20
2011-11-04,20
2011-11-05,21
2011-11-06,21
2011-11-07,22
2011-11-08,22
2011-11-09,23
2011-11-10,23
2011-11-11,24
2011-11-12,25
2011-11-13,25
2011-11-14,26
2011-11-15,26
2011-11-16,26
2011-11-17,27
2011-11-18,27
2011-11-19,28
2011-11-20,27
2011-11-21,26
2011-11-22,25
2011-11-23,25
2011-11-24,24
2011-11-25,23
2011-11-26,23
2011-11-27,23
2011-12-04,21
2011-12-05,19
2011-12-06,17
2011-12-07,15
2011-12-08,13
2011-12-09,11
2011-12-10,10
2011-12-11,12
2011-12-12,14
2011-12-13,16
2011-12-14,19
2011-12-15,21
2011-12-16,23
2011-12-17,26
2011-12-18,25
2011-12-19,25
2011-12-20,25
2011-12-21,24
2011-12-22,24
2011-12-23,23
2011-12-24,23
2011-12-25,22
2011-12-26,21
2011-12-27,20
2011-12-28,19
2011-12-29,18
2011-12-30,17
2011-12-31,16
2012-01-01,16
2012-01-02,17
2012-01-03,17
2012-01-04,17
2012-01-05,18
2012-01-06,18
2012-01-07,19
2012-01-08,18
2012-01-09,17
2012-01-10,16
2012-01-11,16
2012-01-12,15
2012-01-13,14
2012-01-14,14
2012-01-15,16
2012-01-16,18
2012-01-17,20
2012-01-18,22
2012-01-19,24
2012-01-20,26
2012-01-21,29
2012-01-22,31
2012-01-23,33
2012-01-24,36
2012-01-25,38
2012-01-26,41
2012-01-27,43
2012-01-28,46
2012-01-29,46
2012-01-30,46
2012-01-31,46
2012-02-01,47
2012-02-02,47
2012-02-03,47
2012-02-04,48
2012-02-05,55
2012-02-06,63
2012-02-07,70
2012-02-08,78
2012-02-09,85
2012-02-10,93
2012-02-11,100
2012-02-12,97
2012-02-13,93
2012-02-14,90
2012-02-15,87
2012-02-16,83
2012-02-17,80
2012-02-18,77
2012-02-19,74
2012-02-20,72
2012-02-21,70
2012-02-22,67
2012-02-23,65
2012-02-24,63
2012-02-25,60
2012-02-26,58
2012-03-01,50
2012-03-02,48
2012-03-03,46
2012-03-04,51
2012-03-05,56
2012-03-06,63
2012-03-07,66
2012-03-08,71
2012-03-09,76
2012-03-10,91
2012-03-11,80
2012-03-12,79
2012-03-13,78
2012-03-14,85
2012-03-15,76
2012-03-16,78
2012-03-17,75
2012-03-18,72
2012-03-19,70
2012-03-20,74
2012-03-21,67
2012-03-22,66
2012-03-23,63
2012-03-24,65
2012-03-25,63
2012-03-26,64
2012-03-27,68
2012-03-28,66
2012-03-29,67
2012-03-30,68
2012-03-31,71
2012-04-01,68
2012-04-02,67
2012-04-03,66
2012-04-04,65
2012-04-05,64
2012-04-06,64
2012-04-07,65
2012-04-08,61
2012-04-09,61
2012-04-10,61
2012-04-11,63
2012-04-12,63
2012-04-13,60
2012-04-14,62
2012-04-15,61
2012-04-16,62
2012-04-17,64
2012-04-18,65
2012-04-19,67
2012-04-20,72
2012-04-21,70
2012-04-22,69
2012-04-23,69
2012-04-24,70
2012-04-25,68
2012-04-26,68
2012-04-27,69
2012-04-28,69
2012-04-29,68
2012-04-30,68
2012-05-01,72
2012-05-02,68
2012-05-03,71
2012-05-04,68
2012-05-05,75
2012-05-06,68
2012-05-07,69
2012-05-08,70
2012-05-09,74
2012-05-10,70
2012-05-11,76
2012-05-12,73
2012-05-13,67
2012-05-14,63
2012-05-15,59
2012-05-16,54
2012-05-17,49
2012-05-18,45
2012-05-19,41
2012-05-20,42
2012-05-21,44
2012-05-22,46
2012-05-23,48
2012-05-24,50
2012-05-25,53
2012-05-26,54
2012-05-27,52
2012-05-28,51
2012-05-29,50
2012-05-30,51
2012-05-31,48
2012-06-03,44
2012-06-04,42
2012-06-05,40
2012-06-06,38
2012-06-07,36
2012-06-08,34
2012-06-09,32
2012-06-10,32
2012-06-11,32
2012-06-12,32
2012-06-13,33
2012-06-14,33
2012-06-15,33
2012-06-16,34
2012-06-17,34
2012-06-18,34
2012-06-19,35
2012-06-20,35
2012-06-21,36
2012-06-22,36
2012-06-23,37
2012-06-24,37
2012-06-25,37
2012-06-26,38
2012-06-27,38
2012-06-28,38
2012-06-29,38
2012-06-30,39
2012-07-01,38
2012-07-02,37
2012-07-03,36
2012-07-04,35
2012-07-05,34
2012-07-06,33
2012-07-07,32
2012-07-08,31
2012-07-09,30
2012-07-10,30
2012-07-11,29
2012-07-12,29
2012-07-13,28
2012-07-14,28
2012-07-15,28
2012-07-16,28
2012-07-17,28
2012-07-18,29
2012-07-19,29
2012-07-20,29
2012-07-21,30
2012-07-22,29
2012-07-23,29
2012-07-24,28
2012-07-25,28
2012-07-26,27
2012-07-27,27
2012-07-28,27
2012-07-29,27
2012-07-30,27
2012-07-31,28
2012-08-01,28
2012-08-02,28
2012-08-03,28
2012-08-04,29
2012-08-05,28
2012-08-06,28
2012-08-07,27
2012-08-08,27
2012-08-09,26
2012-08-10,26
2012-08-11,26
2012-08-12,26
2012-08-13,27
2012-08-14,28
2012-08-15,29
2012-08-16,30
2012-08-17,31
2012-08-18,32
2012-08-19,30
2012-08-20,28
2012-08-21,26
2012-08-22,24
2012-08-23,22
2012-08-24,20
2012-08-25,19
2012-08-26,19
2012-09-02,25
2012-09-03,26
2012-09-04,26
2012-09-05,27
2012-09-06,28
2012-09-07,28
2012-09-08,29
2012-09-09,28
2012-09-10,28
2012-09-11,28
2012-09-12,27
2012-09-13,27
2012-09-14,27
2012-09-15,27
2012-09-16,27
2012-09-17,27
2012-09-18,28
2012-09-19,28
2012-09-20,29
2012-09-21,29
2012-09-22,30
2012-09-23,29
2012-09-24,29
2012-09-25,29
2012-09-26,29
2012-09-27,29
2012-09-28,29
2012-09-29,29
2012-09-30,29
2012-10-01,29
2012-10-02,29
2012-10-03,29
2012-10-04,29
2012-10-05,29
2012-10-06,29
2012-10-07,29
2012-10-08,29
2012-10-09,29
2012-10-10,29
2012-10-11,29
2012-10-12,29
2012-10-13,30
2012-10-14,29
2012-10-15,28
2012-10-16,27
2012-10-17,26
2012-10-18,25
2012-10-19,25
2012-10-20,24
2012-10-21,23
2012-10-22,22
2012-10-23,21
2012-10-24,20
2012-10-25,19
2012-10-26,18
2012-10-27,18
2012-10-28,18
2012-10-29,19
2012-10-30,20
2012-10-31,20
2012-11-01,21
2012-11-02,22
2012-11-03,23
2012-11-04,23
2012-11-05,24
2012-11-06,25
2012-11-07,26
2012-11-08,26
2012-11-09,27
2012-11-10,28
2012-11-11,27
2012-11-12,26
2012-11-13,25
2012-11-14,25
2012-11-15,24
2012-11-16,23
2012-11-17,23
2012-11-18,24
2012-11-19,25
2012-11-20,27
2012-11-21,28
2012-11-22,29
2012-11-23,31
2012-11-24,32
2012-11-25,30
