Date,Green Dot Corp
2011-02-12,86
2011-02-13,82
2011-02-14,78
2011-02-15,74
2011-02-16,70
2011-02-17,66
2011-02-18,62
2011-02-19,58
2011-02-20,59
2011-02-21,61
2011-02-22,62
2011-02-23,64
2011-02-24,65
2011-02-25,67
2011-02-26,68
2011-02-27,67
2011-02-28,67
2011-03-01,66
2011-03-02,65
2011-03-03,64
2011-03-04,63
2011-03-05,62
2011-03-06,59
2011-03-07,54
2011-03-08,51
2011-03-09,47
2011-03-10,44
2011-03-11,40
2011-03-12,37
2011-03-13,37
2011-03-14,37
2011-03-15,37
2011-03-16,37
2011-03-17,37
2011-03-18,37
2011-03-19,37
2011-03-20,41
2011-03-21,46
2011-03-22,51
2011-03-23,56
2011-03-24,61
2011-03-25,66
2011-03-26,71
2011-03-27,69
2011-05-01,49
2011-05-02,49
2011-05-03,49
2011-05-04,49
2011-05-05,49
2011-05-06,49
2011-05-07,49
2011-05-08,49
2011-05-09,50
2011-05-10,51
2011-05-11,51
2011-05-12,52
2011-05-13,53
2011-05-14,54
2011-05-15,57
2011-05-16,60
2011-05-17,63
2011-05-18,66
2011-05-19,69
2011-05-20,72
2011-05-21,76
2011-05-22,73
2011-05-23,72
2011-05-24,69
2011-05-25,67
2011-05-26,65
2011-05-27,63
2011-05-28,60
2011-05-29,59
2011-05-30,56
2011-05-31,54
2011-06-01,52
2011-06-02,50
2011-06-03,48
2011-06-04,47
2011-06-05,48
2011-06-06,49
2011-06-07,50
2011-06-08,52
2011-06-09,53
2011-06-10,54
2011-06-11,56
2011-06-12,57
2011-06-13,59
2011-06-14,61
2011-06-15,62
2011-06-16,64
2011-06-17,66
2011-06-18,68
2011-06-19,68
2011-06-20,68
2011-06-21,68
2011-06-22,68
2011-06-23,68
2011-06-24,68
2011-06-25,68
2011-06-26,68
2011-06-27,69
2011-06-28,70
2011-06-29,70
2011-06-30,71
2011-07-01,71
2011-07-02,72
2011-07-03,69
2011-07-04,64
2011-07-05,61
2011-07-06,57
2011-07-07,54
2011-07-08,51
2011-07-09,48
2011-07-10,46
2011-07-11,44
2011-07-12,42
2011-07-13,40
2011-07-14,38
2011-07-15,36
2011-07-16,34
2011-07-17,35
2011-07-18,37
2011-07-19,38
2011-07-20,40
2011-07-21,41
2011-07-22,43
2011-07-23,45
2011-07-24,45
2011-07-25,45
2011-07-26,45
2011-07-27,45
2011-07-28,45
2011-07-29,45
2011-07-30,46
2011-07-31,46
