Date,CafePress
2012-01-12,46
2012-01-13,44
2012-01-14,43
2012-01-15,46
2012-01-16,49
2012-01-17,52
2012-01-18,55
2012-01-19,58
2012-01-20,61
2012-01-21,64
2012-01-22,64
2012-01-23,64
2012-01-24,64
2012-01-25,64
2012-01-26,64
2012-01-27,64
2012-01-28,64
2012-01-29,64
2012-01-30,64
2012-01-31,65
2012-02-01,65
2012-02-02,65
2012-02-03,66
2012-02-04,66
2012-02-05,67
2012-02-06,68
2012-02-07,69
2012-02-08,71
2012-02-09,72
2012-02-10,73
2012-02-11,75
2012-02-12,72
2012-02-13,69
2012-02-14,66
2012-02-15,64
2012-02-16,61
2012-02-17,58
2012-02-18,56
2012-02-19,61
2012-02-20,67
2012-02-21,73
2012-02-22,79
2012-02-23,85
2012-02-24,91
2012-02-25,97
2012-02-26,94
2012-03-04,72
2012-03-05,69
2012-03-06,65
2012-03-07,61
2012-03-08,58
2012-03-09,54
2012-03-10,50
2012-03-11,50
2012-03-12,49
2012-03-13,49
2012-03-14,49
2012-03-15,49
2012-03-16,49
2012-03-17,49
2012-03-18,50
2012-03-19,51
2012-03-20,52
2012-03-21,53
2012-03-22,54
2012-03-23,55
2012-03-24,56
2012-03-25,62
2012-03-26,69
2012-03-27,76
2012-03-28,82
2012-03-29,89
2012-03-30,95
2012-03-31,102
2012-04-01,94
2012-04-02,83
2012-04-03,74
2012-04-04,66
2012-04-05,57
2012-04-06,49
2012-04-07,41
2012-04-08,43
2012-04-09,46
2012-04-10,49
2012-04-11,51
2012-04-12,54
2012-04-13,56
2012-04-14,59
2012-04-15,59
2012-04-16,58
2012-04-17,57
2012-04-18,57
2012-04-19,56
2012-04-20,56
2012-04-21,56
2012-04-22,56
2012-04-23,56
2012-04-24,56
2012-04-25,56
2012-04-26,56
2012-04-27,56
2012-04-28,56
2012-04-29,55
2012-04-30,55
2012-05-01,54
2012-05-02,54
2012-05-03,53
2012-05-04,53
2012-05-05,52
2012-05-06,49
2012-05-07,46
2012-05-08,43
2012-05-09,40
2012-05-10,37
2012-05-11,35
2012-05-12,32
2012-05-13,35
2012-05-14,38
2012-05-15,42
2012-05-16,45
2012-05-17,49
2012-05-18,52
2012-05-19,56
2012-05-20,54
2012-05-21,52
2012-05-22,50
2012-05-23,48
2012-05-24,46
2012-05-25,44
2012-05-26,42
2012-05-27,44
2012-06-03,60
2012-06-04,60
2012-06-05,59
2012-06-06,59
2012-06-07,58
2012-06-08,58
2012-06-09,58
2012-06-10,57
2012-06-11,58
2012-06-12,57
2012-06-13,57
2012-06-14,57
2012-06-15,57
2012-06-16,57
2012-06-17,57
2012-06-18,56
2012-06-19,56
2012-06-20,56
2012-06-21,56
2012-06-22,56
2012-06-23,56
2012-06-24,52
2012-06-25,49
2012-06-26,45
2012-06-27,42
2012-06-28,38
2012-06-29,35
2012-06-30,32
2012-07-01,38
2012-07-02,44
2012-07-03,50
2012-07-04,56
2012-07-05,62
2012-07-06,68
2012-07-07,74
2012-07-08,71
2012-07-09,68
2012-07-10,66
2012-07-11,63
2012-07-12,60
2012-07-13,58
2012-07-14,55
2012-07-15,55
2012-07-16,54
2012-07-17,54
2012-07-18,53
2012-07-19,53
2012-07-20,53
2012-07-21,53
2012-07-22,52
2012-07-23,52
2012-07-24,52
2012-07-25,52
2012-07-26,52
2012-07-27,52
2012-07-28,52
2012-07-29,51
2012-07-30,50
2012-07-31,49
2012-08-01,49
2012-08-02,48
2012-08-03,47
2012-08-04,47
2012-08-05,48
2012-08-06,50
2012-08-07,52
2012-08-08,53
2012-08-09,55
2012-08-10,57
2012-08-11,59
2012-08-12,59
2012-08-13,59
2012-08-14,59
2012-08-15,60
2012-08-16,60
2012-08-17,60
2012-08-18,60
2012-08-19,59
2012-08-20,58
2012-08-21,57
2012-08-22,56
2012-08-23,55
2012-08-24,54
2012-08-25,53
2012-08-26,52
2012-09-02,48
2012-09-03,50
2012-09-04,52
2012-09-05,54
2012-09-06,57
2012-09-07,59
2012-09-08,61
2012-09-09,58
2012-09-10,54
2012-09-11,51
2012-09-12,47
2012-09-13,44
2012-09-14,41
2012-09-15,38
2012-09-16,43
2012-09-17,48
2012-09-18,53
2012-09-19,58
2012-09-20,64
2012-09-21,69
2012-09-22,74
2012-09-23,70
2012-09-24,66
2012-09-25,62
2012-09-26,59
2012-09-27,55
2012-09-28,51
2012-09-29,48
2012-09-30,51
2012-10-01,55
2012-10-02,59
2012-10-03,62
2012-10-04,66
2012-10-05,70
2012-10-06,74
2012-10-07,74
2012-10-08,75
2012-10-09,75
2012-10-10,76
2012-10-11,76
2012-10-12,76
2012-10-13,77
2012-10-14,74
2012-10-15,72
2012-10-16,69
2012-10-17,67
2012-10-18,64
2012-10-19,62
2012-10-20,59
2012-10-21,57
2012-10-22,54
2012-10-23,52
2012-10-24,50
2012-10-25,47
2012-10-26,45
2012-10-27,42
2012-10-28,40
2012-10-29,37
2012-10-30,35
2012-10-31,33
2012-11-01,31
2012-11-02,29
2012-11-03,27
2012-11-04,30
2012-11-05,34
2012-11-06,38
2012-11-07,42
2012-11-08,46
2012-11-09,50
2012-11-10,54
2012-11-11,53
2012-11-12,52
2012-11-13,51
2012-11-14,50
2012-11-15,49
2012-11-16,48
2012-11-17,48
2012-11-18,49
2012-11-19,51
2012-11-20,53
2012-11-21,55
2012-11-22,57
2012-11-23,59
2012-11-24,61
2012-11-25,61
