Date,NetSpend
2011-06-24,44
2011-06-25,45
2011-06-26,49
2011-07-03,68
2011-07-04,63
2011-07-05,57
2011-07-06,52
2011-07-07,46
2011-07-08,41
2011-07-09,36
2011-07-10,38
2011-07-11,40
2011-07-12,43
2011-07-13,45
2011-07-14,48
2011-07-15,50
2011-07-16,53
2011-07-17,53
2011-07-18,54
2011-07-19,55
2011-07-20,56
2011-07-21,56
2011-07-22,57
2011-07-23,58
2011-07-24,57
2011-07-25,55
2011-07-26,54
2011-07-27,53
2011-07-28,51
2011-07-29,50
2011-07-30,49
2011-07-31,47
2011-08-01,46
2011-08-02,45
2011-08-03,43
2011-08-04,42
2011-08-05,41
2011-08-06,40
2011-08-07,41
2011-08-08,43
2011-08-09,44
2011-08-10,46
2011-08-11,48
2011-08-12,49
2011-08-13,51
2011-08-14,52
2011-08-15,53
2011-08-16,54
2011-08-17,55
2011-08-18,56
2011-08-19,57
2011-08-20,59
2011-08-21,59
2011-08-22,61
2011-08-23,61
2011-08-24,62
2011-08-25,63
2011-08-26,64
2011-08-27,65
2011-08-28,62
2011-08-29,59
2011-08-30,57
2011-08-31,54
2011-09-01,52
2011-09-02,50
2011-09-03,48
2011-09-04,47
2011-09-05,47
2011-09-06,47
2011-09-07,47
2011-09-08,47
2011-09-09,47
2011-09-10,47
2011-09-11,48
2011-09-12,50
2011-09-13,51
2011-09-14,53
2011-09-15,54
2011-09-16,55
2011-09-17,57
2011-09-18,56
2011-09-19,55
2011-09-20,54
2011-09-21,53
2011-09-22,52
2011-09-23,51
2011-09-24,51
2011-09-25,50
2011-10-02,49
2011-10-03,49
2011-10-04,49
2011-10-05,49
2011-10-06,50
2011-10-07,50
2011-10-08,50
2011-10-09,49
2011-10-10,48
2011-10-11,48
2011-10-12,47
2011-10-13,46
2011-10-14,46
2011-10-15,45
2011-10-16,44
2011-10-17,42
2011-10-18,41
2011-10-19,39
2011-10-20,38
2011-10-21,37
2011-10-22,36
2011-10-23,40
2011-10-24,44
2011-10-25,48
2011-10-26,52
2011-10-27,57
2011-10-28,61
2011-10-29,65
2011-10-30,61
2011-10-31,57
2011-11-01,54
2011-11-02,50
2011-11-03,46
2011-11-04,42
2011-11-05,39
2011-11-06,38
2011-11-07,38
2011-11-08,38
2011-11-09,37
2011-11-10,37
2011-11-11,37
2011-11-12,37
2011-11-13,36
2011-11-14,35
2011-11-15,35
2011-11-16,34
2011-11-17,34
2011-11-18,33
2011-11-19,33
2011-11-20,34
2011-11-21,36
2011-11-22,38
2011-11-23,40
2011-11-24,42
2011-11-25,44
2011-11-26,46
2011-11-27,46
2011-11-28,47
2011-11-29,48
2011-11-30,48
2011-12-01,49
2011-12-02,50
2011-12-03,51
2011-12-04,54
2011-12-05,57
2011-12-06,60
2011-12-07,63
2011-12-08,66
2011-12-09,69
2011-12-10,72
