Date,First Interstate BancSystem
2009-12-11,73
2009-12-12,73
2009-12-13,73
2009-12-14,73
2009-12-15,73
2009-12-16,73
2009-12-17,73
2009-12-18,73
2009-12-19,73
2009-12-20,73
2009-12-21,73
2009-12-22,73
2009-12-23,73
2009-12-24,73
2009-12-25,73
2009-12-26,73
2009-12-27,73
2009-12-28,73
2009-12-29,73
2009-12-30,73
2009-12-31,73
2010-01-01,73
2010-01-02,73
2010-01-03,73
2010-01-04,73
2010-01-05,73
2010-01-06,73
2010-01-07,73
2010-01-08,73
2010-01-09,73
2010-01-10,73
2010-01-11,73
2010-01-12,73
2010-01-13,73
2010-01-14,73
2010-01-15,73
2010-01-16,73
2010-01-17,73
2010-01-18,73
2010-01-19,73
2010-01-20,73
2010-01-21,73
2010-01-22,73
2010-01-23,73
2010-01-24,73
2010-01-25,73
2010-01-26,73
2010-01-27,73
2010-01-28,73
2010-01-29,73
2010-01-30,73
2010-01-31,73
2010-02-01,73
2010-02-02,73
2010-02-03,73
2010-02-04,73
2010-02-05,73
2010-02-06,73
2010-02-07,73
2010-02-08,73
2010-02-09,73
2010-02-10,73
2010-02-11,73
2010-02-12,73
2010-02-13,73
2010-02-14,73
2010-02-15,73
2010-02-16,73
2010-02-17,73
2010-02-18,73
2010-02-19,73
2010-02-20,73
2010-02-21,73
2010-02-22,73
2010-02-23,73
2010-02-24,73
2010-02-25,73
2010-02-26,73
2010-02-27,73
2010-02-28,73
2010-03-01,73
2010-03-02,73
2010-03-03,74
2010-03-04,74
2010-03-05,75
2010-03-06,75
2010-03-07,76
2010-03-08,77
2010-03-09,77
2010-03-10,78
2010-03-11,78
2010-03-12,79
2010-03-13,79
2010-03-14,80
2010-03-15,81
2010-03-16,81
2010-03-17,82
2010-03-18,82
2010-03-19,83
2010-03-20,84
2010-03-21,84
2010-03-22,85
2010-03-23,85
2010-03-24,86
2010-03-25,86
2010-03-26,87
2010-03-27,88
2010-03-28,88
2010-03-29,89
2010-03-30,89
2010-03-31,90
2010-04-01,91
2010-04-02,90
2010-04-03,89
2010-04-04,89
2010-04-05,88
2010-04-06,87
2010-04-07,87
2010-04-08,86
2010-04-09,85
2010-04-10,85
2010-04-11,84
2010-04-12,83
2010-04-13,83
2010-04-14,82
2010-04-15,81
2010-04-16,81
2010-04-17,80
2010-04-18,79
2010-04-19,79
2010-04-20,78
2010-04-21,77
2010-04-22,77
2010-04-23,76
2010-04-24,75
2010-04-25,75
2010-04-26,74
2010-04-27,73
2010-04-28,73
2010-04-29,72
2010-04-30,71
2010-05-01,71
2010-05-02,71
2010-05-03,71
2010-05-04,71
2010-05-05,71
2010-05-06,71
2010-05-07,71
2010-05-08,71
2010-05-09,71
2010-05-10,71
2010-05-11,71
2010-05-12,71
2010-05-13,71
2010-05-14,71
2010-05-15,71
2010-05-16,71
2010-05-17,71
2010-05-18,71
2010-05-19,71
2010-05-20,71
2010-05-21,71
2010-05-22,71
2010-05-23,71
2010-05-24,71
2010-05-25,71
2010-05-26,71
2010-05-27,71
2010-05-28,71
2010-05-29,71
2010-05-30,71
2010-05-31,71
2010-06-01,71
2010-06-02,70
2010-06-03,70
2010-06-04,70
2010-06-05,70
2010-06-06,70
2010-06-07,70
2010-06-08,70
2010-06-09,70
2010-06-10,70
2010-06-11,70
2010-06-12,70
2010-06-13,70
2010-06-14,70
2010-06-15,70
2010-06-16,70
2010-06-17,70
2010-06-18,70
2010-06-19,70
2010-06-20,70
2010-06-21,70
2010-06-22,70
2010-06-23,70
2010-06-24,70
2010-06-25,70
2010-06-26,70
2010-06-27,70
2010-06-28,70
2010-06-29,70
2010-06-30,70
2010-07-01,70
2010-07-02,70
2010-07-03,70
2010-07-04,70
2010-07-05,70
2010-07-06,70
2010-07-07,70
2010-07-08,70
2010-07-09,70
2010-07-10,70
2010-07-11,70
2010-07-12,70
2010-07-13,70
2010-07-14,70
2010-07-15,70
2010-07-16,70
2010-07-17,70
2010-07-18,70
2010-07-19,70
2010-07-20,70
2010-07-21,70
2010-07-22,70
2010-07-23,70
2010-07-24,70
2010-07-25,70
2010-07-26,70
2010-07-27,70
2010-07-28,70
2010-07-29,70
2010-07-30,70
2010-07-31,70
2010-08-01,70
2010-08-02,70
2010-08-03,71
2010-08-04,71
2010-08-05,72
2010-08-06,72
2010-08-07,73
2010-08-08,73
2010-08-09,74
2010-08-10,74
2010-08-11,75
2010-08-12,75
2010-08-13,76
2010-08-14,76
2010-08-15,77
2010-08-16,77
2010-08-17,78
2010-08-18,78
2010-08-19,79
2010-08-20,79
2010-08-21,80
2010-08-22,80
2010-08-23,81
2010-08-24,81
2010-08-25,82
2010-08-26,82
2010-08-27,83
2010-08-28,83
2010-08-29,84
2010-08-30,84
2010-08-31,85
2010-09-01,86
2010-09-02,85
2010-09-03,84
2010-09-04,83
2010-09-05,83
2010-09-06,82
2010-09-07,81
2010-09-08,80
2010-09-09,80
2010-09-10,79
2010-09-11,78
2010-09-12,77
2010-09-13,77
2010-09-14,76
2010-09-15,75
2010-09-16,75
2010-09-17,74
2010-09-18,73
2010-09-19,72
2010-09-20,72
2010-09-21,71
2010-09-22,70
2010-09-23,69
2010-09-24,69
2010-09-25,68
2010-09-26,67
2010-09-27,66
2010-09-28,66
2010-09-29,65
2010-09-30,64
2010-10-01,64
2010-10-02,64
2010-10-03,64
2010-10-04,65
2010-10-05,65
2010-10-06,65
2010-10-07,66
2010-10-08,66
2010-10-09,66
2010-10-10,67
2010-10-11,67
2010-10-12,67
2010-10-13,68
2010-10-14,68
2010-10-15,68
2010-10-16,69
2010-10-17,69
2010-10-18,70
2010-10-19,70
2010-10-20,70
2010-10-21,71
2010-10-22,71
2010-10-23,71
2010-10-24,72
2010-10-25,72
2010-10-26,72
2010-10-27,73
2010-10-28,73
2010-10-29,73
2010-10-30,74
2010-10-31,74
2010-11-01,75
2010-11-02,75
2010-11-03,75
2010-11-04,76
2010-11-05,76
2010-11-06,76
2010-11-07,77
2010-11-08,77
2010-11-09,77
2010-11-10,78
2010-11-11,78
2010-11-12,78
2010-11-13,79
2010-11-14,79
2010-11-15,79
2010-11-16,80
2010-11-17,80
2010-11-18,80
2010-11-19,81
2010-11-20,81
2010-11-21,81
2010-11-22,82
2010-11-23,82
2010-11-24,82
2010-11-25,83
2010-11-26,83
2010-11-27,83
2010-11-28,84
2010-11-29,84
2010-11-30,84
2010-12-01,85
2010-12-02,85
2010-12-03,85
2010-12-04,86
2010-12-05,86
2010-12-06,86
2010-12-07,87
2010-12-08,87
2010-12-09,87
2010-12-10,88
2010-12-11,88
2010-12-12,88
2010-12-13,89
2010-12-14,89
2010-12-15,89
2010-12-16,90
2010-12-17,90
2010-12-18,91
2010-12-19,91
2010-12-20,91
2010-12-21,92
2010-12-22,92
2010-12-23,92
2010-12-24,93
2010-12-25,93
2010-12-26,93
2010-12-27,94
2010-12-28,94
2010-12-29,94
2010-12-30,95
2010-12-31,95
2011-01-01,96
2011-01-02,96
2011-01-03,96
2011-01-04,96
2011-01-05,96
2011-01-06,96
2011-01-07,96
2011-01-08,96
2011-01-09,97
2011-01-10,97
2011-01-11,97
2011-01-12,97
2011-01-13,97
2011-01-14,97
2011-01-15,97
2011-01-16,97
2011-01-17,98
2011-01-18,98
2011-01-19,98
2011-01-20,98
2011-01-21,98
2011-01-22,98
2011-01-23,98
2011-01-24,98
2011-01-25,99
2011-01-26,99
2011-01-27,99
2011-01-28,99
2011-01-29,99
2011-01-30,99
2011-01-31,99
2011-02-01,100
2011-02-02,98
2011-02-03,97
2011-02-04,96
2011-02-05,95
2011-02-06,94
2011-02-07,93
2011-02-08,92
2011-02-09,91
2011-02-10,90
2011-02-11,89
2011-02-12,88
2011-02-13,87
2011-02-14,86
2011-02-15,85
2011-02-16,83
2011-02-17,82
2011-02-18,81
2011-02-19,80
2011-02-20,79
2011-02-21,78
2011-02-22,77
2011-02-23,76
2011-02-24,75
2011-02-25,74
2011-02-26,73
2011-02-27,72
2011-02-28,71
2011-03-01,70
2011-03-02,70
2011-03-03,70
2011-03-04,70
2011-03-05,70
2011-03-06,70
2011-03-07,70
2011-03-08,71
2011-03-09,71
2011-03-10,71
2011-03-11,71
2011-03-12,71
2011-03-13,71
2011-03-14,72
2011-03-15,72
2011-03-16,72
2011-03-17,72
2011-03-18,72
2011-03-19,72
2011-03-20,73
2011-03-21,73
2011-03-22,73
2011-03-23,73
2011-03-24,73
2011-03-25,73
2011-03-26,74
2011-03-27,74
2011-03-28,74
2011-03-29,74
2011-03-30,74
2011-03-31,74
2011-04-01,75
2011-04-02,75
2011-04-03,75
2011-04-04,75
2011-04-05,75
2011-04-06,76
2011-04-07,76
2011-04-08,76
2011-04-09,76
2011-04-10,76
2011-04-11,77
2011-04-12,77
2011-04-13,77
2011-04-14,77
2011-04-15,77
2011-04-16,78
2011-04-17,78
2011-04-18,78
2011-04-19,78
2011-04-20,78
2011-04-21,79
2011-04-22,79
2011-04-23,79
2011-04-24,79
2011-04-25,79
2011-04-26,80
2011-04-27,80
2011-04-28,80
2011-04-29,80
2011-04-30,80
2011-05-01,81
2011-05-02,80
2011-05-03,79
2011-05-04,78
2011-05-05,77
2011-05-06,76
2011-05-07,75
2011-05-08,74
2011-05-09,73
2011-05-10,72
2011-05-11,71
2011-05-12,70
2011-05-13,69
2011-05-14,68
2011-05-15,67
2011-05-16,66
2011-05-17,65
2011-05-18,64
2011-05-19,63
2011-05-20,62
2011-05-21,61
2011-05-22,60
2011-05-23,59
2011-05-24,58
2011-05-25,57
2011-05-26,56
2011-05-27,55
2011-05-28,54
2011-05-29,53
2011-05-30,52
2011-05-31,51
2011-06-01,51
2011-06-02,51
2011-06-03,51
2011-06-04,51
2011-06-05,51
2011-06-06,51
2011-06-07,51
2011-06-08,51
2011-06-09,51
2011-06-10,51
2011-06-11,51
2011-06-12,51
2011-06-13,51
2011-06-14,51
2011-06-15,51
2011-06-16,51
2011-06-17,51
2011-06-18,51
2011-06-19,51
2011-06-20,51
2011-06-21,51
2011-06-22,51
2011-06-23,51
2011-06-24,51
2011-06-25,51
2011-06-26,51
2011-06-27,51
2011-06-28,51
2011-06-29,51
2011-06-30,51
