Date,Education Management Corporation
2009-01-08,74
2009-01-09,74
2009-01-10,75
2009-01-11,75
2009-01-12,75
2009-01-13,76
2009-01-14,76
2009-01-15,76
2009-01-16,77
2009-01-17,77
2009-01-18,78
2009-01-19,78
2009-01-20,78
2009-01-21,79
2009-01-22,79
2009-01-23,79
2009-01-24,80
2009-01-25,80
2009-01-26,80
2009-01-27,81
2009-01-28,81
2009-01-29,81
2009-01-30,82
2009-01-31,82
2009-02-01,83
2009-02-02,83
2009-02-03,83
2009-02-04,84
2009-02-05,84
2009-02-06,84
2009-02-07,85
2009-02-08,85
2009-02-09,86
2009-02-10,86
2009-02-11,86
2009-02-12,87
2009-02-13,87
2009-02-14,88
2009-02-15,88
2009-02-16,88
2009-02-17,89
2009-02-18,89
2009-02-19,90
2009-02-20,90
2009-02-21,90
2009-02-22,91
2009-02-23,91
2009-02-24,92
2009-02-25,92
2009-02-26,92
2009-02-27,93
2009-02-28,93
2009-03-01,94
2009-03-02,93
2009-03-03,92
2009-03-04,91
2009-03-05,90
2009-03-06,89
2009-03-07,88
2009-03-08,87
2009-03-09,86
2009-03-10,85
2009-03-11,84
2009-03-12,83
2009-03-13,82
2009-03-14,81
2009-03-15,80
2009-03-16,79
2009-03-17,78
2009-03-18,77
2009-03-19,76
2009-03-20,75
2009-03-21,74
2009-03-22,73
2009-03-23,72
2009-03-24,71
2009-03-25,70
2009-03-26,69
2009-03-27,68
2009-03-28,67
2009-03-29,66
2009-03-30,65
2009-03-31,64
2009-04-01,64
2009-04-02,64
2009-04-03,65
2009-04-04,65
2009-04-05,66
2009-04-06,67
2009-04-07,67
2009-04-08,68
2009-04-09,69
2009-04-10,69
2009-04-11,70
2009-04-12,70
2009-04-13,71
2009-04-14,72
2009-04-15,72
2009-04-16,73
2009-04-17,74
2009-04-18,74
2009-04-19,75
2009-04-20,76
2009-04-21,76
2009-04-22,77
2009-04-23,77
2009-04-24,78
2009-04-25,79
2009-04-26,79
2009-04-27,80
2009-04-28,81
2009-04-29,81
2009-04-30,82
2009-05-01,83
2009-05-02,82
2009-05-03,82
2009-05-04,82
2009-05-05,81
2009-05-06,81
2009-05-07,81
2009-05-08,81
2009-05-09,80
2009-05-10,80
2009-05-11,80
2009-05-12,80
2009-05-13,79
2009-05-14,79
2009-05-15,79
2009-05-16,79
2009-05-17,78
2009-05-18,78
2009-05-19,78
2009-05-20,78
2009-05-21,77
2009-05-22,77
2009-05-23,77
2009-05-24,77
2009-05-25,76
2009-05-26,76
2009-05-27,76
2009-05-28,76
2009-05-29,75
2009-05-30,75
2009-05-31,75
