Date,Deltek
2007-06-23,48
2007-06-24,50
2007-06-25,53
2007-06-26,56
2007-06-27,59
2007-06-28,62
2007-06-29,65
2007-06-30,68
2007-07-01,65
2007-07-02,63
2007-07-03,60
2007-07-04,58
2007-07-05,55
2007-07-06,53
2007-07-07,51
2007-07-08,53
2007-07-09,55
2007-07-10,58
2007-07-11,60
2007-07-12,62
2007-07-13,65
2007-07-14,67
2007-07-15,66
2007-07-16,64
2007-07-17,63
2007-07-18,61
2007-07-19,60
2007-07-20,59
2007-07-21,58
2007-07-22,59
2007-07-23,61
2007-07-24,63
2007-07-25,64
2007-07-26,66
2007-07-27,68
2007-07-28,69
2007-07-29,67
2007-08-05,52
2007-08-06,49
2007-08-07,46
2007-08-08,43
2007-08-09,40
2007-08-10,37
2007-08-11,34
2007-08-12,40
2007-08-13,46
2007-08-14,52
2007-08-15,59
2007-08-16,65
2007-08-17,71
2007-08-18,77
2007-08-19,77
2007-08-20,75
2007-08-21,74
2007-08-22,73
2007-08-23,72
2007-08-24,71
2007-08-25,70
2007-08-26,69
2007-08-27,68
2007-08-28,67
2007-08-29,67
2007-08-30,66
2007-08-31,65
2007-09-01,65
2007-09-02,63
2007-09-03,62
2007-09-04,60
2007-09-05,59
2007-09-06,57
2007-09-07,56
2007-09-08,55
2007-09-09,58
2007-09-10,61
2007-09-11,64
2007-09-12,68
2007-09-13,71
2007-09-14,74
2007-09-15,77
2007-09-16,74
2007-09-17,71
2007-09-18,68
2007-09-19,65
2007-09-20,62
2007-09-21,59
2007-09-22,57
2007-09-23,56
2007-09-24,56
2007-09-25,56
2007-09-26,56
2007-09-27,56
2007-09-28,56
2007-09-29,56
2007-09-30,57
2007-10-01,58
2007-10-02,59
2007-10-03,61
2007-10-04,62
2007-10-05,63
2007-10-06,65
2007-10-07,64
2007-10-08,63
2007-10-09,63
2007-10-10,62
2007-10-11,62
2007-10-12,61
2007-10-13,61
2007-10-14,64
2007-10-15,68
2007-10-16,72
2007-10-17,75
2007-10-18,79
2007-10-19,83
2007-10-20,87
2007-10-21,87
2007-10-22,88
2007-10-23,88
2007-10-24,89
2007-10-25,89
2007-10-26,90
2007-10-27,91
2007-10-28,92
2007-11-04,93
2007-11-05,86
2007-11-06,79
2007-11-07,72
2007-11-08,65
2007-11-09,58
2007-11-10,51
2007-11-11,52
2007-11-12,52
2007-11-13,53
2007-11-14,54
2007-11-15,55
2007-11-16,56
2007-11-17,57
2007-11-18,54
2007-11-19,51
2007-11-20,48
2007-11-21,45
2007-11-22,42
2007-11-23,39
2007-11-24,37
2007-11-25,38
2007-11-26,40
2007-11-27,41
2007-11-28,43
2007-11-29,44
2007-11-30,46
2007-12-01,48
2007-12-02,48
2007-12-03,48
2007-12-04,48
2007-12-05,48
2007-12-06,48
2007-12-07,48
2007-12-08,48
2007-12-09,49
2007-12-10,51
2007-12-11,53
2007-12-12,55
2007-12-13,57
2007-12-14,59
2007-12-15,61
2007-12-16,62
2007-12-17,64
2007-12-18,66
2007-12-19,68
2007-12-20,69
2007-12-21,71
2007-12-22,73
2007-12-23,72
2007-12-24,70
2007-12-25,69
2007-12-26,68
2007-12-27,67
2007-12-28,66
2007-12-29,65
2007-12-30,65
2007-12-31,65
2008-01-01,65
2008-01-02,66
2008-01-03,66
2008-01-04,66
2008-01-05,67
2008-01-06,69
2008-01-07,71
2008-01-08,73
2008-01-09,75
2008-01-10,77
2008-01-11,79
2008-01-12,81
2008-01-13,77
2008-01-14,72
2008-01-15,68
2008-01-16,64
2008-01-17,60
2008-01-18,56
2008-01-19,52
2008-01-20,51
2008-01-21,50
2008-01-22,49
2008-01-23,49
2008-01-24,48
2008-01-25,47
2008-01-26,47
2008-01-27,53
2008-02-03,91
2008-02-04,89
2008-02-05,87
2008-02-06,85
2008-02-07,83
2008-02-08,81
2008-02-09,79
2008-02-10,77
2008-02-11,75
2008-02-12,73
2008-02-13,71
2008-02-14,69
2008-02-15,67
2008-02-16,65
2008-02-17,66
2008-02-18,68
2008-02-19,69
2008-02-20,71
2008-02-21,72
2008-02-22,74
2008-02-23,76
2008-02-24,76
2008-02-25,77
2008-02-26,78
2008-02-27,78
2008-02-28,79
2008-02-29,80
2008-03-01,80
2008-03-02,80
2008-03-03,79
2008-03-04,79
2008-03-05,78
2008-03-06,78
2008-03-07,78
2008-03-08,78
2008-03-09,77
2008-03-10,77
2008-03-11,77
2008-03-12,77
2008-03-13,77
2008-03-14,77
2008-03-15,77
2008-03-16,75
2008-03-17,74
2008-03-18,72
2008-03-19,71
2008-03-20,69
2008-03-21,68
2008-03-22,66
2008-03-23,66
2008-03-24,66
2008-03-25,66
2008-03-26,66
2008-03-27,66
2008-03-28,66
2008-03-29,66
2008-03-30,66
2008-03-31,66
2008-04-01,67
2008-04-02,67
2008-04-03,67
2008-04-04,68
2008-04-05,68
2008-04-06,66
2008-04-07,63
2008-04-08,61
2008-04-09,58
2008-04-10,56
2008-04-11,54
2008-04-12,52
2008-04-13,53
2008-04-14,54
2008-04-15,55
2008-04-16,56
2008-04-17,57
2008-04-18,59
2008-04-19,60
2008-04-20,60
2008-04-21,61
2008-04-22,62
2008-04-23,62
2008-04-24,63
2008-04-25,64
2008-04-26,65
2008-04-27,64
2008-05-04,62
2008-05-05,64
2008-05-06,66
2008-05-07,68
2008-05-08,70
2008-05-09,72
2008-05-10,75
2008-05-11,75
2008-05-12,76
2008-05-13,76
2008-05-14,77
2008-05-15,78
2008-05-16,78
2008-05-17,79
2008-05-18,77
2008-05-19,76
2008-05-20,75
2008-05-21,74
2008-05-22,73
2008-05-23,71
2008-05-24,70
2008-05-25,70
2008-05-26,69
2008-05-27,68
2008-05-28,68
2008-05-29,67
2008-05-30,67
2008-05-31,67
2008-06-01,67
2008-06-02,68
2008-06-03,69
2008-06-04,70
2008-06-05,71
2008-06-06,72
2008-06-07,73
2008-06-08,70
2008-06-09,67
2008-06-10,64
2008-06-11,61
2008-06-12,58
2008-06-13,56
2008-06-14,53
2008-06-15,53
2008-06-16,54
2008-06-17,55
2008-06-18,55
2008-06-19,56
2008-06-20,57
2008-06-21,58
2008-06-22,58
2008-06-23,59
2008-06-24,60
2008-06-25,60
2008-06-26,61
2008-06-27,61
2008-06-28,62
2008-06-29,59
2008-06-30,56
2008-07-01,53
2008-07-02,51
2008-07-03,48
2008-07-04,45
2008-07-05,43
2008-07-06,46
2008-07-07,49
2008-07-08,52
2008-07-09,56
2008-07-10,59
2008-07-11,62
2008-07-12,66
2008-07-13,67
2008-07-14,67
2008-07-15,68
2008-07-16,69
2008-07-17,70
2008-07-18,71
2008-07-19,72
2008-07-20,69
2008-07-21,67
2008-07-22,65
2008-07-23,62
2008-07-24,60
2008-07-25,58
2008-07-26,56
2008-07-27,56
2008-08-03,61
2008-08-04,60
2008-08-05,59
2008-08-06,59
2008-08-07,58
2008-08-08,57
2008-08-09,57
2008-08-10,59
2008-08-11,61
2008-08-12,63
2008-08-13,65
2008-08-14,68
2008-08-15,70
2008-08-16,72
2008-08-17,71
2008-08-18,70
2008-08-19,70
2008-08-20,69
2008-08-21,69
2008-08-22,68
2008-08-23,68
2008-08-24,69
2008-08-25,70
2008-08-26,71
2008-08-27,72
2008-08-28,73
2008-08-29,74
2008-08-30,75
2008-08-31,73
2008-09-01,72
2008-09-02,71
2008-09-03,70
2008-09-04,69
2008-09-05,67
2008-09-06,66
2008-09-07,64
2008-09-08,62
2008-09-09,60
2008-09-10,59
2008-09-11,57
2008-09-12,55
2008-09-13,54
2008-09-14,54
2008-09-15,55
2008-09-16,56
2008-09-17,57
2008-09-18,58
2008-09-19,59
2008-09-20,60
2008-09-21,60
2008-09-22,60
2008-09-23,60
2008-09-24,60
2008-09-25,60
2008-09-26,60
2008-09-27,60
2008-09-28,60
2008-09-29,61
2008-09-30,62
2008-10-01,63
2008-10-02,64
2008-10-03,65
2008-10-04,66
2008-10-05,66
2008-10-06,67
2008-10-07,67
2008-10-08,68
2008-10-09,69
2008-10-10,69
2008-10-11,70
2008-10-12,70
2008-10-13,70
2008-10-14,70
2008-10-15,70
2008-10-16,70
2008-10-17,70
2008-10-18,70
2008-10-19,68
2008-10-20,66
2008-10-21,65
2008-10-22,63
2008-10-23,61
2008-10-24,60
2008-10-25,58
2008-10-26,58
